"CRSE_CRSE_ID"|"CRSE_EFFDT"|"COFFR_ACAD_CAREER"|"COFFR_SUBJECT"|"COFFR_SUBJECT_LDESC"|"COFFR_CATALOG_NBR"|"COFFR_ACAD_GROUP"|"COFFR_ACAD_GROUP_LDESC"|"CRSE_COURSE_TITLE_LONG"|"CRSE_DESCR"|"CRSE_DESCRLONG"|"CTPCS_CRSE_ATTR"|"CTPCS_CRSE_ATTR_VALUE"|"CATALOG NOTES 1"|"CATALOG NOTES 2"
"000002"|"2022-09-06"|"UGRD"|"WGS"|"Women's,  Gender & Sexuality  Studies"|"394L"|"LA"|"Liberal Arts"|"Radical Voices of Resistance: Gender, Race and US Social Movements"|"Radical Voices of Resistance"|"This class explores activist engagements in several interrelated social movements in the U.S. throughout the 19th, 20th and 21st centuries. Through reading and discussion of primary documents, biography, and historical research, we analyze the motivations and strategies of women activists in tension with gendered and racialized expectations and practices in historical context."|"Pre-requisite: ENGL101"|"United States"|"AMST 394L and WGS 394L are the same course."|""
"000002"|"2022-09-06"|"UGRD"|"AMST"|"American Studies"|"394L"|"LA"|"Liberal Arts"|"Radical Voices of Resistance: Gender, Race and US Social Movements"|"Radical Voices of Resistance"|"This class explores activist engagements in several interrelated social movements in the U.S. throughout the 19th, 20th and 21st centuries. Through reading and discussion of primary documents, biography, and historical research, we analyze the motivations and strategies of women activists in tension with gendered and racialized expectations and practices in historical context."|"Pre-req = a minimum of 30 credits or Permission of Instructor"|"United States"|"AMST 394L and WGS 394L are the same course."|""
"000003"|"2022-09-06"|"UGRD"|"AMST"|"American Studies"|"376L"|"LA"|"Liberal Arts"|"Women of Color"|"Women of Color"|"This course offers interdisciplinary and cross-cultural perspectives on a variety of theories, themes, and issues related to the experiences of women of color in both U.S. and global contexts. It examines the genealogies, practices, and agendas of women of color ''feminisms,'' and promotes a dialogue about the interactive impact of race, class, and gender on women's lives.AMST 376L and WGS 376L are the same course."|"Pre-req = a minimum of 30 credits or Permission of Instructor"|" "|"AMST 376L and WGS 376L are the same course."|""
"000003"|"2022-09-06"|"UGRD"|"WGS"|"Women's,  Gender & Sexuality  Studies"|"376L"|"LA"|"Liberal Arts"|"Women of Color"|"Women of Color"|"This course offers interdisciplinary and cross-cultural perspectives on a variety of theories, themes, and issues related to the experiences of women of color in both U.S. and global contexts. It examines the genealogies, practices, and agendas of women of color ''feminisms,'' and promotes a dialogue about the interactive impact of race, class, and gender on women's lives.AMST 376L and WGS 376L are the same course."|" "|" "|"AMST 376L and WGS 376L are the same course."|""
"000004"|"2022-09-06"|"UGRD"|"ASIAN"|"Asian Studies"|"359L"|"LA"|"Liberal Arts"|"Women in Modern China"|"Women in Modern China"|"This course examines the social and cultural roles of Chinese women, and their changes over time. Emphasis is given to twentieth-century China, especially the People's Republic period."|" "|"International, World Cultures"|"ASIAN 359L and HIST 359L and WGS 359L are the same course."|""
"000004"|"2022-09-06"|"UGRD"|"WGS"|"Women's,  Gender & Sexuality  Studies"|"359L"|"LA"|"Liberal Arts"|"Women in Modern China"|"Women in Modern China"|"This course examines the social and cultural roles of Chinese women, and their changes over time. Emphasis is given to twentieth-century China, especially the People's Republic period."|" "|"International, World Cultures"|"ASIAN 359L and HIST 359L and WGS 359L are the same course."|""
"000004"|"2022-09-06"|"UGRD"|"HIST"|"History"|"359L"|"LA"|"Liberal Arts"|"Women in Modern China"|"Women in Modern China"|"This course examines the social and cultural roles of Chinese women, and their changes over time. Emphasis is given to twentieth-century China, especially the People's Republic period."|" "|"International, World Cultures"|"ASIAN 359L and HIST 359L and WGS 359L are the same course."|""
"000006"|"2022-09-06"|"UGRD"|"RELSTY"|"Study of Religion"|"356L"|"LA"|"Liberal Arts"|"Faiths & Feminisms: Women, Gender, Sexuality & Religion in the U.S."|"Faiths & Feminisms"|"This course explores feminisms and theologies - or varieties of ''God-talk'' - as resources for each other. The course engages key questions raised by students and non-students alike: what does it mean to have feminist politics and belong to a faith community? Can this be done? Is it desirable? What are the consequences?Starting from these personal-political questions, the course attends to the history of women and religion in colonial America and the United States. Selected feminist and womanist engagements with and challenges to aspects of Christianity, Islam, and Judaism in the contemporary United States are examined. The course explores women's - and transpeople's - experiences of religion and spirituality, both their leadership and their struggles within various faith communities. The professor and students analyze the ways that ideas about gender, racial/ethnic, economic, and sexual hierarchies are deeply entwined in theologies that oppress as well as those that seek to liberate. The course also investigates contemporary queer theologies and current thinking about feminism, secularism, and humanism. Student experiences and questions help guide the study of feminist scholarly research and writing in the fields of history, theology, criticism of sacred texts, politics, and literature."|"Pre-requisite = One Women's Studies or one Study of Religions class or permission of instructor."|"United States"|"RELSTY 356L and WGS 356L are the same course."|""
"000006"|"2022-09-06"|"UGRD"|"WGS"|"Women's,  Gender & Sexuality  Studies"|"356L"|"LA"|"Liberal Arts"|"Faiths & Feminisms: Women, Gender, Sexuality & Religion in the U.S."|"Faiths & Feminisms"|"This course explores feminisms and theologies - or varieties of ''God-talk'' - as resources for each other. The course engages key questions raised by students and non-students alike: what does it mean to have feminist politics and belong to a faith community? Can this be done? Is it desirable? What are the consequences?Starting from these personal-political questions, the course attends to the history of women and religion in colonial America and the United States. Selected feminist and womanist engagements with and challenges to aspects of Christianity, Islam, and Judaism in the contemporary United States are examined. The course explores women's - and transpeople's - experiences of religion and spirituality, both their leadership and their struggles within various faith communities. The professor and students analyze the ways that ideas about gender, racial/ethnic, economic, and sexual hierarchies are deeply entwined in theologies that oppress as well as those that seek to liberate. The course also investigates contemporary queer theologies and current thinking about feminism, secularism, and humanism. Student experiences and questions help guide the study of feminist scholarly research and writing in the fields of history, theology, criticism of sacred texts, politics, and literature."|"Pre-requisite = One Women's Studies or one Study of Religions class or permission of instructor."|"United States"|"RELSTY 356L and WGS 356L are the same course."|""
"000010"|"2022-09-06"|"UGRD"|"ENGL"|"English"|"341L"|"LA"|"Liberal Arts"|"Gender and Film: Multidisciplinary Perspectives"|"Gender and Film"|"This course is designed to encourage multidisciplinary analysis of gender, cultural representations, and film in the 20th and early 21st century.  Among the topics that students will explore are: ethnographic film and gendered practices in ethnographic filmmaking; how ideologies of gender, ''race,'' and class are constructed, disseminated, and normalized through film (documentary as well as ''popular'' film); Indigenous women and filmmaking in North America; femininities, masculinities, and power in the ''horror film'' genre; human rights film and filmmaking as activism.  Students will view films made in diverse locations and reflecting multiple historical, political, and cultural perspectives and will explore the intellectual, political and social significance of film in their own lives."|"Pre-requisite:  ENGL 200 or 201 or 202"|"World Cultures"|"ENGL 341L and WGS 341L and CINE 341L are the same course."|""
