"CLASS_STRM_LDESC"|"CLASS_STRM_SDESC"|"CLASS_ACAD_GROUP_LDESC"|"CLASS_ACAD_GROUP_CD"|"CLASS_ACAD_CAREER"|"CLASS_SESSION_LDESC"|"CLASS_SUBJECT_LDESC"|"CLASS_SUBJECT_CD"|"CLASS_CATALOG_NBR"|"CLASS_CLASS_SECTION"|"CLASS_CLASS_NBR"|"CRSE_COURSE_TITLE_LONG"|"CRSE_DESCRLONG"|"CLASS_ENRL_STAT_SDESC"|"CRSE_UNITS_MAXIMUM"|"Meeting Pattern"|"CLASSM_START_DT"|"CLASSM_END_DT"|"CLASSM_MEETING_TIME_START"|"CLASSM_MEETING_TIME_END"|"CLASS_ENRL_CAP"|"CLASS_ENRL_TOT"|"CLASS_INSTRUCTOR_NAME"|"CLASS_FACILITY_ID"|"CLASS_FACILITY_DESCRLONG"|"BUILDING_CODE"|"CRSE_CONSENT"|"COFFR_PRE_REQ_LDESC"|"CLASS_MTG_DESCR1"|"CLASS_NOTES_1"|"CLASS_NOTES_2"|"CLASS_NOTES_3"|"CLASS_NOTES_4"|"CLASS_NOTES_5"|"CLASS_NOTES_6"|"CLASS_NOTES_7"|"CLASS_NOTES_8"|"CLASS_NOTES_9"|"CLASS_NOTES_10"|"CLASSM_MONDAY"|"CLASSM_TUESDAY"|"CLASSM_WEDNESDAY"|"CLASSM_THURSDAY"|"CLASSM_FRIDAY"|"CLASSM_SATURDAY"|"CLASSM_SUNDAY"|"CATTR_CRSE_ATTR"|"CATTR_CRSE_ATTR_VALUE_DESCR"|"CRSE_UNITS_MINIMUM"|"INSTRUCTION_MODE"
"2024 Fall"|"2024 Fall"|"Coll of Advancing&Prof Studies"|"CAPS"|"UGRD"|"Spec Prg2"|"CAPS"|"CAPS"|"112"|"02"|"10484"|"University Success Course"|"This course is designed for students in the one-semester University Pathways program to aid in their transition to the college and campus environment. Through class activities, assignments, workshops and discussions students become oriented to the various campus resources and services available and begin to develop the academic skills necessary to excel at the university level. Topics will include academic expectations, UMass Boston's institutional policies and procedures, goal-setting, academic fundamentals including critical university skills, major and career exploration, and finding balance between personal, social and academic life."|"Open"|"1.00"|"Tu"|"09/03/2024"|"12/13/2024"|"13:00"|"13:50"|"24"|"19"|"Hedemann,Gabriel Josiah"|"M03-0612"|"M03-0612"|"MCCORMACK"|"D"|""|"NON-DEGREE PATHWAYS"|""|""|""|""|""|""|""|""|""|""|""|"Tu"|""|""|""|""|""|""|" "|"1.00"|"PF"
"2024 Fall"|"2024 Fall"|"Coll of Advancing&Prof Studies"|"CAPS"|"UGRD"|"Spec Prg2"|"CAPS"|"CAPS"|"112"|"03"|"10485"|"University Success Course"|"This course is designed for students in the one-semester University Pathways program to aid in their transition to the college and campus environment. Through class activities, assignments, workshops and discussions students become oriented to the various campus resources and services available and begin to develop the academic skills necessary to excel at the university level. Topics will include academic expectations, UMass Boston's institutional policies and procedures, goal-setting, academic fundamentals including critical university skills, major and career exploration, and finding balance between personal, social and academic life."|"Open"|"1.00"|"Tu"|"09/03/2024"|"12/13/2024"|"13:00"|"13:50"|"24"|"20"|"Berger,Benny"|"W01-0010"|"Wheatley W01-0010"|"WHEATLEY"|"D"|""|"NON-DEGREE PATHWAYS"|""|""|""|""|""|""|""|""|""|""|""|"Tu"|""|""|""|""|""|""|" "|"1.00"|"PF"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"383"|"01"|"1316"|"Biochemistry I"|"In the first of a two-semester sequence, the chemistry of life processes is discussed in terms of structure and biological function of proteins, nucleic acids, carbohydrates, lipids, and other cellular components. Special emphasis is given to protein structure and function, enzymology, carbohydrate metabolism, transport mechanisms, energy transformations, and photosynthesis."|"Open"|"3.00"|"MWF"|"09/03/2024"|"12/13/2024"|"10:00"|"10:50"|"100"|"83"|"Hagar,William G"|"Y02-2300"|"University Hall Y02-2300"|"UNIVERSITY"|"N"|"  Pre-req = BIOL 111 and one of the following: CHEM 252 with 256 or 254, or CHEM 954A."|""|""|""|""|""|""|""|""|""|""|""|"M"|""|"W"|""|"F"|""|""|""|" "|"3.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"383"|"01"|"1316"|"Biochemistry I"|"In the first of a two-semester sequence, the chemistry of life processes is discussed in terms of structure and biological function of proteins, nucleic acids, carbohydrates, lipids, and other cellular components. Special emphasis is given to protein structure and function, enzymology, carbohydrate metabolism, transport mechanisms, energy transformations, and photosynthesis."|"Open"|"3.00"|"MWF"|"09/03/2024"|"12/13/2024"|"10:00"|"10:50"|"100"|"83"|"Martin,Glover Wilberte"|"Y02-2300"|"University Hall Y02-2300"|"UNIVERSITY"|"N"|"  Pre-req = BIOL 111 and one of the following: CHEM 252 with 256 or 254, or CHEM 954A."|""|""|""|""|""|""|""|""|""|""|""|"M"|""|"W"|""|"F"|""|""|""|" "|"3.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"385"|"01"|"2304"|"Biochemistry Lab I"|"Laboratory course to complement BIOCHM 383. Experiments involving titration, purification and analysis of biological molecules. Provides training in such techniques as chromatography, electrophoresis, and enzyme kinetics."|"Closed"|"3.00"|"Tu"|"09/03/2024"|"12/13/2024"|"12:30"|"16:29"|"18"|"23"|"Martin,Glover Wilberte"|"W02-0032"|"W02-0032   Biology Lab"|"WHEATLEY"|"N"|"  Pre-req =  BIOL 111 and one of the following: CHEM 252 with 256; or CHEM 254; and co-req: BIOCHM 383"|"Lab Start 1st week"|""|""|""|""|""|""|""|""|""|""|""|"Tu"|""|""|""|""|""|""|" "|"3.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"385"|"01"|"2304"|"Biochemistry Lab I"|"Laboratory course to complement BIOCHM 383. Experiments involving titration, purification and analysis of biological molecules. Provides training in such techniques as chromatography, electrophoresis, and enzyme kinetics."|"Closed"|"3.00"|"Tu"|"09/03/2024"|"12/13/2024"|"12:30"|"16:29"|"18"|"23"|"McClain,Leslie Marie"|"W02-0032"|"W02-0032   Biology Lab"|"WHEATLEY"|"N"|"  Pre-req =  BIOL 111 and one of the following: CHEM 252 with 256; or CHEM 254; and co-req: BIOCHM 383"|"Lab Start 1st week"|""|""|""|""|""|""|""|""|""|""|""|"Tu"|""|""|""|""|""|""|" "|"3.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"385"|"02"|"2305"|"Biochemistry Lab I"|"Laboratory course to complement BIOCHM 383. Experiments involving titration, purification and analysis of biological molecules. Provides training in such techniques as chromatography, electrophoresis, and enzyme kinetics."|"Closed"|"3.00"|"Th"|"09/03/2024"|"12/13/2024"|"12:30"|"16:29"|"18"|"19"|"Martin,Glover Wilberte"|"W02-0032"|"W02-0032   Biology Lab"|"WHEATLEY"|"N"|"  Pre-req =  BIOL 111 and one of the following: CHEM 252 with 256; or CHEM 254; and co-req: BIOCHM 383"|"Lab Start 1st week"|""|""|""|""|""|""|""|""|""|""|""|""|""|"Th"|""|""|""|""|" "|"3.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"385"|"02"|"2305"|"Biochemistry Lab I"|"Laboratory course to complement BIOCHM 383. Experiments involving titration, purification and analysis of biological molecules. Provides training in such techniques as chromatography, electrophoresis, and enzyme kinetics."|"Closed"|"3.00"|"Th"|"09/03/2024"|"12/13/2024"|"12:30"|"16:29"|"18"|"19"|"McClain,Leslie Marie"|"W02-0032"|"W02-0032   Biology Lab"|"WHEATLEY"|"N"|"  Pre-req =  BIOL 111 and one of the following: CHEM 252 with 256; or CHEM 254; and co-req: BIOCHM 383"|"Lab Start 1st week"|""|""|""|""|""|""|""|""|""|""|""|""|""|"Th"|""|""|""|""|" "|"3.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"471"|"01"|"1317"|"Readings in Biochemistry I"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Ackerman,Steven M"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
"2024 Fall"|"2024 Fall"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"471"|"02"|"1318"|"Readings in Biochemistry I"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"09/03/2024"|"12/13/2024"|""|""|"5"|"0"|"Colon-Carmona,Adan"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|" "|"1.00"|"P"
