"CLASS_STRM_LDESC"|"CLASS_STRM_SDESC"|"CLASS_ACAD_GROUP_LDESC"|"CLASS_ACAD_GROUP_CD"|"CLASS_ACAD_CAREER"|"CLASS_SESSION_LDESC"|"CLASS_SUBJECT_LDESC"|"CLASS_SUBJECT_CD"|"CLASS_CATALOG_NBR"|"CLASS_CLASS_SECTION"|"CLASS_CLASS_NBR"|"CRSE_COURSE_TITLE_LONG"|"CRSE_DESCRLONG"|"CLASS_ENRL_STAT_SDESC"|"CRSE_UNITS_MAXIMUM"|"Meeting Pattern"|"CLASSM_START_DT"|"CLASSM_END_DT"|"CLASSM_MEETING_TIME_START"|"CLASSM_MEETING_TIME_END"|"CLASS_ENRL_CAP"|"CLASS_ENRL_TOT"|"CLASS_INSTRUCTOR_NAME"|"CLASS_FACILITY_ID"|"CLASS_FACILITY_DESCRLONG"|"BUILDING_CODE"|"CRSE_CONSENT"|"COFFR_PRE_REQ_LDESC"|"CLASS_MTG_DESCR1"|"CLASS_NOTES_1"|"CLASS_NOTES_2"|"CLASS_NOTES_3"|"CLASS_NOTES_4"|"CLASS_NOTES_5"|"CLASS_NOTES_6"|"CLASS_NOTES_7"|"CLASS_NOTES_8"|"CLASS_NOTES_9"|"CLASS_NOTES_10"|"CLASSM_MONDAY"|"CLASSM_TUESDAY"|"CLASSM_WEDNESDAY"|"CLASSM_THURSDAY"|"CLASSM_FRIDAY"|"CLASSM_SATURDAY"|"CLASSM_SUNDAY"|"CATTR_CRSE_ATTR"|"CATTR_CRSE_ATTR_VALUE_DESCR"|"CRSE_UNITS_MINIMUM"|"INSTRUCTION_MODE"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"383"|"01"|"7951"|"Biochemistry I"|"In the first of a two-semester sequence, the chemistry of life processes is discussed in terms of structure and biological function of proteins, nucleic acids, carbohydrates, lipids, and other cellular components. Special emphasis is given to protein structure and function, enzymology, carbohydrate metabolism, transport mechanisms, energy transformations, and photosynthesis."|"Open"|"3.00"|"MWF"|"01/27/2025"|"05/14/2025"|"09:00"|"09:50"|"40"|"35"|"Martin,Glover Wilberte"|"W01-0005"|"Wheatley W01-0005"|"WHEATLEY"|"N"|"  Pre-req = BIOL 111 and one of the following: CHEM 252 with 256 or 254, or CHEM 954A."|""|""|""|""|""|""|""|""|""|""|""|"M"|""|"W"|""|"F"|""|""|""|" "|"3.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"384"|"01"|"6971"|"Biochemistry II"|"In the second of a two-semester sequence, discussion of cellular function is continued. The topics are biochemistry and synthesis of nucleic acids and proteins, structural motifs in protein folding, metabolism of lipids and amino acids, nitrogen fixation, molecular immunology, hormones, ion channels, neurochemistry, biological applications of nuclear resonance and biochemical evolution."|"Open"|"3.00"|"MWF"|"01/27/2025"|"05/14/2025"|"10:00"|"10:50"|"60"|"36"|"Dowling,Daniel Peter"|"H04-0031"|"Healey H04-0031"|"HEALEY"|"N"|"  Pre-req = BIOCHM 383 and BIOL 210 or BIOL 212"|""|""|""|""|""|""|""|""|""|""|""|"M"|""|"W"|""|"F"|""|""|""|" "|"3.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"385"|"01"|"8436"|"Biochemistry Lab I"|"Laboratory course to complement BIOCHM 383. Experiments involving titration, purification and analysis of biological molecules. Provides training in such techniques as chromatography, electrophoresis, and enzyme kinetics."|"Open"|"3.00"|"Tu"|"01/27/2025"|"05/14/2025"|"13:00"|"16:59"|"18"|"12"|"Martin,Glover Wilberte"|"W02-0032"|"W02-0032   Biology Lab"|"WHEATLEY"|"N"|"  Pre-req =  BIOL 111 and one of the following: CHEM 252 with 256; or CHEM 254; and co-req: BIOCHM 383"|""|""|""|""|""|""|""|""|""|""|""|""|"Tu"|""|""|""|""|""|""|" "|"3.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"385"|"01"|"8436"|"Biochemistry Lab I"|"Laboratory course to complement BIOCHM 383. Experiments involving titration, purification and analysis of biological molecules. Provides training in such techniques as chromatography, electrophoresis, and enzyme kinetics."|"Open"|"3.00"|"Tu"|"01/27/2025"|"05/14/2025"|"13:00"|"16:59"|"18"|"12"|"McClain,Leslie Marie"|"W02-0032"|"W02-0032   Biology Lab"|"WHEATLEY"|"N"|"  Pre-req =  BIOL 111 and one of the following: CHEM 252 with 256; or CHEM 254; and co-req: BIOCHM 383"|""|""|""|""|""|""|""|""|""|""|""|""|"Tu"|""|""|""|""|""|""|" "|"3.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"385"|"02"|"9586"|"Biochemistry Lab I"|"Laboratory course to complement BIOCHM 383. Experiments involving titration, purification and analysis of biological molecules. Provides training in such techniques as chromatography, electrophoresis, and enzyme kinetics."|"Open"|"3.00"|"Th"|"01/27/2025"|"05/14/2025"|"13:00"|"16:59"|"18"|"7"|"Martin,Glover Wilberte"|"W02-0032"|"W02-0032   Biology Lab"|"WHEATLEY"|"N"|"  Pre-req =  BIOL 111 and one of the following: CHEM 252 with 256; or CHEM 254; and co-req: BIOCHM 383"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Th"|""|""|""|""|" "|"3.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"385"|"02"|"9586"|"Biochemistry Lab I"|"Laboratory course to complement BIOCHM 383. Experiments involving titration, purification and analysis of biological molecules. Provides training in such techniques as chromatography, electrophoresis, and enzyme kinetics."|"Open"|"3.00"|"Th"|"01/27/2025"|"05/14/2025"|"13:00"|"16:59"|"18"|"7"|"McClain,Leslie Marie"|"W02-0032"|"W02-0032   Biology Lab"|"WHEATLEY"|"N"|"  Pre-req =  BIOL 111 and one of the following: CHEM 252 with 256; or CHEM 254; and co-req: BIOCHM 383"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Th"|""|""|""|""|" "|"3.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"386"|"01L"|"6501"|"Biochemistry Lab II"|"Laboratory course to complement BIOCHM 384. Experiments involving high performance liquid chromatography, circular dichroism, optical rotary dispersion, nuclear magnetic resonance, photosynthesis and analysis of proteins, lipids, and carbohydrates."|"Open"|"3.00"|"W"|"01/27/2025"|"05/14/2025"|"13:00"|"16:59"|"16"|"10"|"Torok,Marianna"|"Y03-3100"|"University Hall Y03-3100"|"UNIVERSITY"|"N"|"  Pre-req = BIOCHM 385 and pre-req or co-req BIOCHM 384"|""|""|""|""|""|""|""|""|""|""|""|""|""|"W"|""|""|""|""|""|" "|"3.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"386"|"02L"|"8439"|"Biochemistry Lab II"|"Laboratory course to complement BIOCHM 384. Experiments involving high performance liquid chromatography, circular dichroism, optical rotary dispersion, nuclear magnetic resonance, photosynthesis and analysis of proteins, lipids, and carbohydrates."|"Closed"|"3.00"|"F"|"01/27/2025"|"05/14/2025"|"12:00"|"15:59"|"16"|"16"|"Torok,Marianna"|"Y03-3100"|"University Hall Y03-3100"|"UNIVERSITY"|"N"|"  Pre-req = BIOCHM 385 and pre-req or co-req BIOCHM 384"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"F"|""|""|""|" "|"3.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"472"|"01"|"6502"|"Readings in Biochemistry II"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Ackerman,Steven M"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
"2025 Spring"|"2025 Sprng"|"Science & Mathematics"|"CSM"|"UGRD"|"Regular"|"Biochemistry"|"BIOCHM"|"472"|"02"|"6503"|"Readings in Biochemistry II"|"Topics vary depending on instructor. Contact the Chemistry Department or Biology Department for specific topics each semester."|"Open"|"3.00"|""|"01/27/2025"|"05/14/2025"|""|""|"5"|"0"|"Colon-Carmona,Adan"|""|""|""|"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BNDX"|"Non-degree exclude from list"|"1.00"|"P"
